Date,GDP (current US$),GDP (constant 2015 US$),GDP growth (annual %),GDP per capita (current US$),GDP per capita (constant 2015 US$),GDP per capita growth (annual %),"GDP, PPP (current international $)","GDP, PPP (constant 2017 international $)",GNI (current US$),GNI (constant 2015 US$),GNI growth (annual %),"Exports of goods and services (BoP, current US$)",Exports of goods and services (constant 2015 US$),Exports of goods and services (annual % growth),"Imports of goods and services (BoP, current US$)",Imports of goods and services (constant 2015 US$),Imports of goods and services (annual % growth),"Inflation, consumer prices (annual %)","External debt stocks, total (DOD, current US$)",External debt (% of GDP),"GDP, PPP Growth (annual %)"
1960,3749265014.69971,17051906515.055,,81.5869472962009,371.062859704241,,,,3743805557.32885,17027076540.021004,,371153804.76171815,1688032176.09057,,2485961576.3804426,11306318500.8951,,6.94736842105285,,,
1961,4118647627.04746,18072863229.2049,5.98734641929065,87.5173724745356,384.03127583059,3.49493779482133,,,4113188163.79672,18048906789.720364,6.001207825063903,396201794.2559946,1738556314.39083,2.99307910215698,2703654569.735047,11863792118.7894,4.93063783626953,1.64041994750605,,,
1962,4310163796.72407,18883044137.7055,4.48285862746636,89.4933355376524,392.074799169441,2.09449694467058,,,4304913711.46577,18860043250.422623,4.494102995557814,409044309.2053356,1792043669.16919,3.07653852427019,2729543574.3136992,11958267532.3686,0.796334027377355,-0.516462233698508,,,
1963,4630827383.45233,20523760028.3482,8.68883151825341,93.883886249529,416.09202683724,6.12567492699773,,,4618647397.73205,20469778507.68842,8.535162066660295,561901807.68516,2490340689.79436,38.9665180954494,3176098832.20421,14076424116.2191,17.7129051354389,1.456488447975,,,
1964,5204955900.88198,22077358881.9207,7.56975744905695,102.961207229136,436.720611317431,4.95769761247074,,,5191095684.16632,22018569338.94667,7.566231508936583,572311573.1732996,2427518740.56849,-2.52262469481869,3537682245.805829,15005445202.2581,6.59983727663169,4.17958688145319,,,
1965,5929231415.37169,24377679667.6667,10.4193658220131,114.372018643314,470.233701151015,7.67380539528169,,,5904242167.15666,24274937871.05837,10.247571026881452,593710000.1253885,2441003088.7013,0.555478641934258,4105651087.2621,16880138422.8328,12.4934195240845,5.56863547936376,,,
1966,6561108777.82444,25789135570.7327,5.78995180143444,123.330470854894,484.763527108262,3.08991591238188,,,6530659168.41663,25669450143.820107,5.744658462851637,687556192.2074913,2702512708.41073,10.7132031466854,3989463652.825237,15681011012.1868,-7.10377711727773,7.22762159787732,,,
1967,7464510709.7858,27181906875.0768,5.40061259720824,136.638092510909,497.565620925504,2.64089460145851,,,7414511761.44477,26999836433.959213,5.182761152596771,778073000.3173009,2833341481.9688,4.84100493407114,4900858620.572094,17846405184.6917,13.8090214388728,6.8113996342869,,,
1968,8041999160.0168,29148034250.9794,7.23322092500223,143.287946280962,519.343745609302,4.37693517556312,,,7976000544.30911,28908823841.616344,7.07036656435478,834294513.1706061,3023880575.14423,6.7248898301887,5249101597.970188,19025243614.1993,6.60546713642285,0.170627348438079,,,
1969,8683116337.67325,30753478722.8911,5.50789963428736,150.547804055257,533.203576773906,2.6687201457184,,,8608117913.48173,30487852609.761963,5.462099657864639,931130210.375202,3297835938.09226,9.05972825778547,4491419775.602997,15907512594.9069,-16.3873382255435,3.18698679573689,,,
1970,10027509449.811,34245063156.7058,11.3534617181886,169.124000230778,577.577323482539,8.32210222165277,,,9933511425.45149,33924049419.75463,11.270707891353515,1118591336.93479,3820114174.07319,15.8369987405454,6893466101.4166565,23541955576.6236,47.9926885876616,5.34984090983015,3406742576.0,33.97396525080523,
1971,10665896682.0664,34405457631.7497,0.46837254850405,175.198919999176,565.146953776057,-2.15215681106253,,,10602710262.9147,34201634387.26984,0.8182542245489088,1194776561.229121,3854043929.17972,0.888186937888207,6567158694.069673,21183976082.3575,-10.0160731617703,4.73069148232274,3795844722.3,35.58861327320299,
1972,9415016359.56604,34685313827.6526,0.81340640458356,150.61721129504,554.880102391572,-1.81666933102733,,,9280297318.40882,34189003248.6114,-0.0369313890541511,866371975.7251948,3191750573.96256,-17.1843748381487,3920867115.318532,14444638349.7962,-31.8133749130034,5.18323764549141,4072098744.3,43.2511064111172,
