Date, Leaders

1960, General Ayyub Khan

1961, General Ayyub Khan

1962, General Ayyub Khan

1963, General Ayyub Khan

1964, General Ayyub Khan

1965, General Ayyub Khan

1966, General Ayyub Khan

1967, General Ayyub Khan

1968, General Ayyub Khan

1969, General Yahya Khan

1970, General Yahya Khan

1971, General Yahya Khan

1972, General Yahya Khan

1973, Zulfiqar Ali Bhutto (PPP)

1974, Zulfiqar Ali Bhutto (PPP)

1975, Zulfiqar Ali Bhutto (PPP)

1976, Zulfiqar Ali Bhutto (PPP)

1977, General Zia ul-Haq

1978, General Zia ul-Haq

1979, General Zia ul-Haq

1980, General Zia ul-Haq

1981, General Zia ul-Haq

1982, General Zia ul-Haq

1983, General Zia ul-Haq

1984, General Zia ul-Haq

1985, General Zia ul-Haq

1986, General Zia ul-Haq

1987, General Zia ul-Haq

1988, Benazir Bhutto (PPP)

1989, Benazir Bhutto (PPP)

1990, Nawaz Sharif (PMLN)

1991, Nawaz Sharif (PMLN)

1992, Nawaz Sharif (PMLN)

1993, Benazir Bhutto (PPP)

1994, Benazir Bhutto (PPP)

1995, Benazir Bhutto (PPP)

1996, Benazir Bhutto (PPP)

1997, Nawaz Sharif (PMLN)

1998, Nawaz Sharif (PMLN)

1999, General Pervez Musharraf

2000, General Pervez Musharraf

2001, General Pervez Musharraf

2002, General Pervez Musharraf

2003, General Pervez Musharraf

2004, General Pervez Musharraf

2005, General Pervez Musharraf

2006, General Pervez Musharraf

2007, General Pervez Musharraf

2008, Yusuf Raza Gilani (PPP-PMLN Coalition)

2009, Yusuf Raza Gilani (PPP-PMLN Coalition)

2010, Yusuf Raza Gilani (PPP-PMLN Coalition)

2011, Yusuf Raza Gilani (PPP-PMLN Coalition)

2012, Yusuf Raza Gilani (PPP-PMLN Coalition)

2013, Nawaz Sharif (PMLN)

2014, Nawaz Sharif (PMLN)

2015, Nawaz Sharif (PMLN)

2016, Nawaz Sharif (PMLN)

2017, Nawaz Sharif (PMLN)

2018, Imran Khan (PTI)

2019, Imran Khan (PTI)

2020, Imran Khan (PTI)

2021, Imran Khan (PTI)

2022, Imran Khan (PTI)
