Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
Pakistan,PAK,2018,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,74122240000
Pakistan,PAK,2017,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,70366000000
Pakistan,PAK,2016,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,57580000000
Pakistan,PAK,2015,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,54278000000
Pakistan,PAK,2014,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,55954000000
Pakistan,PAK,2013,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,53631000000
Pakistan,PAK,2012,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,52876000000
Pakistan,PAK,2011,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,51089000000
Pakistan,PAK,2010,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,43884000000
Pakistan,PAK,2009,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,39372430000
Pakistan,PAK,2008,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,53573000000
Pakistan,PAK,2007,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,42690000000
Pakistan,PAK,2006,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,39097000000
Pakistan,PAK,2005,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,32448200000
Pakistan,PAK,2004,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,24591050000
Pakistan,PAK,2003,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,17614000000
Pakistan,PAK,2002,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,14980000000
Pakistan,PAK,2001,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,14141000000
Pakistan,PAK,2000,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,14362000000
Pakistan,PAK,1999,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,13524000000
Pakistan,PAK,1998,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,14259000000
Pakistan,PAK,1997,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,15774816943.969
Pakistan,PAK,1996,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,17820301727.9065
Pakistan,PAK,1995,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,16310679893.9258
Pakistan,PAK,1994,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,13714282161.8475
Pakistan,PAK,1993,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,13628188558.8862
Pakistan,PAK,1992,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,13884468482.4364
Pakistan,PAK,1991,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,12258919216.4191
Pakistan,PAK,1990,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,11385915086.1764
Pakistan,PAK,1989,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,10222060220.2533
Pakistan,PAK,1988,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,9535387238.35806
Pakistan,PAK,1987,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,8480270705.67761
Pakistan,PAK,1986,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,7957432102.15869
Pakistan,PAK,1985,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,7785093340.19626
Pakistan,PAK,1984,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,8021169425.06722
Pakistan,PAK,1983,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,7188165950.45228
Pakistan,PAK,1982,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,7256314211.14689
Pakistan,PAK,1981,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,6980346480.83232
Pakistan,PAK,1980,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,6706937736.72995
